tidsperiod,indikator,plats,vardegrupp,vardetyp,antal_fall,konfidensintervall_lag,konfidensintervall_hog,varde
2012,330,09,5,4,657,5.31600844391194,9.29586370220679,7.30593607305936
2016,330,09,5,4,692,5.55023783350066,9.47866390060339,7.51445086705202
2017,330,09,5,4,702,6.2507011952796,10.2902820402433,8.11965811965812
2013,330,09,5,4,714,5.37684064487815,9.18898568565407,7.28291316526611
2017,330,09,4,4,719,3.57834824232167,6.77249188674097,5.00695410292072
2014,330,09,5,4,725,5.29414274006728,9.05068484613961,7.17241379310345
2012,330,09,4,4,789,6.77404410887694,10.716450187701,8.74524714828897
2016,330,09,4,4,799,5.68198620240372,9.33678726442982,7.50938673341677
2015,330,09,5,4,818,6.75033629150339,10.6090769114306,8.67970660146699
2014,330,09,4,4,832,4.92222515850267,8.29892868765117,6.61057692307692
2013,330,09,4,4,856,5.81889934764555,9.36801654020492,7.59345794392523
2015,330,09,4,4,876,6.29773623900421,9.91230942309624,8.10502283105023
2015,330,23,5,4,1407,4.34800317195376,6.73941687069016,5.54371002132196
2012,330,23,5,4,1418,4.82253269081474,7.30722753485522,6.06488011283498
2017,330,09,1,4,1421,5.33837770882668,7.91073274506083,6.54468684025334
2012,330,09,1,4,1446,6.68569503015629,9.49687758395159,8.09128630705394
2014,330,23,5,4,1446,4.6034492639289,7.01480799748189,5.80912863070539
2017,330,23,5,4,1450,4.17619966367784,6.47219860020966,5.24137931034483
2016,330,09,1,4,1491,6.17381522622519,8.84965895217857,7.51173708920188
2013,330,23,5,4,1508,5.19412472362003,7.67059676179111,6.43236074270557
2014,330,09,1,4,1557,5.61558435968449,8.12879585868417,6.87219010918433
2017,330,23,4,4,1566,3.12916552084715,5.07872868814907,4.02298850574713
2013,330,09,1,4,1570,6.1531599657097,8.75129863301641,7.45222929936306
2012,330,23,4,4,1594,5.19753962002288,7.60045285174626,6.39899623588457
2015,330,23,4,4,1613,2.90554596616738,4.78199278150776,3.84376937383757
2014,330,23,4,4,1625,5.6041763198468,8.05736214169166,6.83076923076923
2013,330,23,4,4,1675,6.64550097930561,9.23509603561976,7.94029850746269
