year,region,diagnos,sex,age,number_of_deaths
1997,0,j44,1,1,
1997,0,j44,1,2,
1997,0,j44,1,3,
1997,0,j44,1,4,
1997,0,j44,1,5,
1997,0,j44,1,6,
1997,0,j44,1,7,
1997,0,j44,1,8,
1997,0,j44,1,9,1
1997,0,j44,1,10,1
1997,0,j44,1,11,5
1997,0,j44,1,12,9
1997,0,j44,1,13,23
1997,0,j44,1,14,56
1997,0,j44,1,15,133
1997,0,j44,1,16,205
1997,0,j44,1,17,187
1997,0,j44,1,18,203
1997,0,j44,1,99,823
1997,0,j44,2,1,
1997,0,j44,2,2,
1997,0,j44,2,3,
1997,0,j44,2,4,
1997,0,j44,2,5,
1997,0,j44,2,6,
1997,0,j44,2,7,
1997,0,j44,2,8,2
1997,0,j44,2,9,
1997,0,j44,2,10,2
1997,0,j44,2,11,5
1997,0,j44,2,12,17
1997,0,j44,2,13,34
1997,0,j44,2,14,54
1997,0,j44,2,15,100
1997,0,j44,2,16,123
1997,0,j44,2,17,109
1997,0,j44,2,18,119
1997,0,j44,2,99,565
1997,0,j44,3,1,
1997,0,j44,3,2,
1997,0,j44,3,3,
1997,0,j44,3,4,
1997,0,j44,3,5,
1997,0,j44,3,6,
1997,0,j44,3,7,
1997,0,j44,3,8,2
1997,0,j44,3,9,1
1997,0,j44,3,10,3
1997,0,j44,3,11,10
1997,0,j44,3,12,26
1997,0,j44,3,13,57
1997,0,j44,3,14,110
1997,0,j44,3,15,233
1997,0,j44,3,16,328
1997,0,j44,3,17,296
1997,0,j44,3,18,322
1997,0,j44,3,99,1388
1997,1,j44,1,1,
1997,1,j44,1,2,
1997,1,j44,1,3,
1997,1,j44,1,4,
1997,1,j44,1,5,
1997,1,j44,1,6,
1997,1,j44,1,7,
1997,1,j44,1,8,
1997,1,j44,1,9,
1997,1,j44,1,10,1
1997,1,j44,1,11,
1997,1,j44,1,12,2
1997,1,j44,1,13,4
1997,1,j44,1,14,10
1997,1,j44,1,15,16
1997,1,j44,1,16,26
1997,1,j44,1,17,23
1997,1,j44,1,18,31
1997,1,j44,1,99,113
1997,1,j44,2,1,
1997,1,j44,2,2,
1997,1,j44,2,3,
1997,1,j44,2,4,
1997,1,j44,2,5,
1997,1,j44,2,6,
1997,1,j44,2,7,
1997,1,j44,2,8,
1997,1,j44,2,9,
1997,1,j44,2,10,
1997,1,j44,2,11,
1997,1,j44,2,12,3
1997,1,j44,2,13,5
1997,1,j44,2,14,10
1997,1,j44,2,15,17
1997,1,j44,2,16,22
1997,1,j44,2,17,30
1997,1,j44,2,18,33
1997,1,j44,2,99,120
1997,1,j44,3,1,
1997,1,j44,3,2,
1997,1,j44,3,3,
1997,1,j44,3,4,
1997,1,j44,3,5,
1997,1,j44,3,6,
1997,1,j44,3,7,
1997,1,j44,3,8,
1997,1,j44,3,9,
1997,1,j44,3,10,1
1997,1,j44,3,11,
1997,1,j44,3,12,5
1997,1,j44,3,13,9
1997,1,j44,3,14,20
1997,1,j44,3,15,33
1997,1,j44,3,16,48
