atc,grp,code,name,sdb_amne,sdb_titel
TOTALT,0,,Samtliga (A - V),Läkemedel,ATC-koder
A,0,A,Matsmältningsorgan och ämnesomsättning,Läkemedel,ATC-koder
A01,A,A01,Medel vid mun- och tandsjukdomar,Läkemedel,ATC-koder
A01A,A01,A01A,Medel vid mun- och tandsjukdomar,Läkemedel,ATC-koder
A01AA,A01A,A01AA,Medel mot karies,Läkemedel,ATC-koder
A01AA01,A01AA,A01AA01,Natriumfluorid,Läkemedel,ATC-koder
A01AA30,A01AA,A01AA30,Kombinationer,Läkemedel,ATC-koder
A01AB,A01A,A01AB,Antiinfektiva och antiseptiska medel för lokal behandling i munhålan,Läkemedel,ATC-koder
A01AB03,A01AB,A01AB03,Klorhexidin,Läkemedel,ATC-koder
A01AB04,A01AB,A01AB04,Amfotericin B,Läkemedel,ATC-koder
A01AB09,A01AB,A01AB09,Mikonazol,Läkemedel,ATC-koder
A01AB11,A01AB,A01AB11,Övrigt,Läkemedel,ATC-koder
A01AB17,A01AB,A01AB17,Metronidazol,Läkemedel,ATC-koder
A01AB21,A01AB,A01AB21,Klortetracyklin,Läkemedel,ATC-koder
A01AB22,A01AB,A01AB22,Doxycyklin,Läkemedel,ATC-koder
A01AC,A01A,A01AC,Kortikosteroider för lokal behandling i munhålan,Läkemedel,ATC-koder
A01AC01,A01AC,A01AC01,Triamcinolon,Läkemedel,ATC-koder
A01AC03,A01AC,A01AC03,Hydrokortison,Läkemedel,ATC-koder
A01AD,A01A,A01AD,Övriga medel för lokal behandling i munhålan,Läkemedel,ATC-koder
A01AD01,A01AD,A01AD01,Adrenalin,Läkemedel,ATC-koder
A01AD02,A01AD,A01AD02,Bensydamin,Läkemedel,ATC-koder
A01AD11,A01AD,A01AD11,Övrigt,Läkemedel,ATC-koder
A02,A,A02,Medel vid syrarelaterade symtom,Läkemedel,ATC-koder
A02A,A02,A02A,Antacida,Läkemedel,ATC-koder
A02AA,A02A,A02AA,Magnesiumföreningar,Läkemedel,ATC-koder
A02AA04,A02AA,A02AA04,Magnesiumhydroxid,Läkemedel,ATC-koder
A02AD,A02A,A02AD,"Kombinationer och komplex av aluminium-, kalcium- och magnesiumföreningar",Läkemedel,ATC-koder
A02AD01,A02AD,A02AD01,"Aluminium-, kalcium- och magnesiumsalter",Läkemedel,ATC-koder
