atgard,name,sdb_amne,sdb_titel
0,AA039 - Klinisk undersökning av nervsystemet,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
1,AU006 - Standardiserad intervju för psykiatrisk syndromdiagnostik,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
2,AU118 - Strukturerad suicidriskbedömning,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
3,AU119 - Strukturerad bedömning av alkohol- och drogvanor,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
4,AV127 - Systematisk undersökning av läkemedelsbiverkan,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
5,"XV016 - Läkemedelsgenomgång, fördjupad",Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
6,DA006 - Elektrokonvulsiv terapi (ECT) UNS,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
7,DA022 - Vagusnervstimulering,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
8,"DA024 - Elektrokonvulsiv terapi (ECT), unilateral",Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
9,"DA025 - Elektrokonvulsiv terapi (ECT), bilateral",Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
10,DU050 - Repetitiv transkraniell magnetstimulering,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
11,"DU008 - Systematisk psykologisk behandling,  psykodynamisk",Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
12,"DU009 - Systematisk psykologisk behandling, annan",Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
13,"DU010 - Systematisk psykologisk behandling, kognitiv",Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
14,"DU011 - Systematisk psykologisk behandling, kognitiv-beteendeterapeutisk",Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
15,"DU013 - Systematisk psykologisk behandling, mentaliserings-baserad (MBT)",Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
16,DU014 - EMDR,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
17,DU015 - ERGT,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
18,"DU020 - Systematisk psykologisk behandling, systemisk",Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
19,"DU021 - Systematisk psykologisk behandling, dialektisk-beteendeterapeutisk (DBT)",Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
20,"DU022 - Systematisk psykologisk behandling, interpersonell (IPT)",Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
21,DV030 - Hälsosamtal,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
22,GB009 - Information och undervisning riktad till patient,Åtgärder inom psykiatrin,"Åtgärder, öppen vård"
