atgard,name,sdb_amne,sdb_titel
0,"AA011 - Datortomografi, hjärna",Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
1,"AA045 - Magnetresonanstomografi, hjärna ",Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
2,AA085 - Undersökning med psykologiska och psykometriska instrument,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
3,AU006 - Standardiserad intervju för psykiatrisk syndromdiagnostik,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
4,AU118 - Strukturerad suicidriskbedömning,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
5,DA006 - Elektrokonvulsiv terapi (ECT) UNS,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
6,DA022 - Vagusnervstimulering,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
7,"DA024 - Elektrokonvulsiv terapi (ECT), unilateral",Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
8,"DA025 - Elektrokonvulsiv terapi (ECT), bilateral",Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
9,DU050 - Repetitiv transkraniell magnetstimulering,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
10,TJD00 - Nasogastrisk eller nasogastroduodenal sond,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
11,DV091 - Smittisolering,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
12,DV092 - Skyddsisolering,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
13,SA010 - Generell anestesi och sedering. Kod för sövning vid svår abstinens,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
14,XV014 - Ständigt närvarande personal i 8 timmar eller mer (Extravak),Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
15,DU045 - Uppföljande samtal efter tvångsåtgärd,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
16,AU123 - Upprättande av krisplan,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
17,AU124 - Upprättande av samordnad individuell plan(Ersatte 2018-01-01 koden XU045),Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
18,GD007 - Anmälan för utredning enligt LVM,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
19,GD008 - Anmälan enligt SoL angående barn med möjligt skyddsbehov,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
20,DU056 - Samtal med vuxen patient och berörd minderårig om barnets situation och behov ,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
21,DU057 - Samtal med minderårig vars förälder är patient om den minderårigas situation och behov,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
22,XU047 - Kvarhållning enligt lagen om psykiatrisk tvångsvård,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
23,XU043 - Överföring från frivillig sluten vård till sluten psykiatrisk tvångsvård,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
24,XU044 - Överföring från rättspsykiatrisk vård till psykiatrisk tvångsvård,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
25,XU041 - Upprättande av vårdplan vid tvångsvård,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
26,XU042 - Upprättande av samordnad vårdplan vid tvångsvård,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
27,XU021 - Läkemedelstillförsel utförd under fastspänning eller fasthållande,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
28,XU001 - Fastspänning upp till och med 4 timmar,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
29,XU003 - Fastspänning i mer än 4 timmar men mindre än 72 timmar,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
30,XU004 - Fastspänning i 72 timmar eller mer,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
31,XU011 - Avskiljande upp till och med 8 timmar,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
32,XU012 - Avskiljande i mer än 8 timmar men mindre än 72 timmar,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
33,"XU013 - Avskiljande i 72 timmar eller mer (Ersattes från 2017-01-01 med XU014, XU015 och XU016)",Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
34,XU014 - Avskiljande i minst 72 timmar men mindre än 15 dagar,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
35,XU015 - Avskiljande i minst 15 men mindre än 30 dagar,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
36,XU016 - Avskiljande som pågått i 30 dagar,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
37,XU030 - Inskränkande av elektronisk kommunikation vid tvångsvård,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
38,XU040 - Övervakning av försändelser vid tvångsvård,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
39,XU060 - Kroppsvisitation,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
40,XU061 - Ytlig kroppsbesiktning,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
41,ZV229 - Åtgärd utförd under fasthållande eller fastspänning,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
42,ZV516 - Medverkan av väktare eller polis,Åtgärder inom psykiatrin,"Åtgärder, sluten vård"
