diagnos,grp,code,name,comments,sdb_amne
01,00,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0101,01,A00-A09,Infektionssjukdomar utgående från mag-tarmkanalen,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0102,01,A15-A19,Tuberkulos,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0103,01,A20-A28,Vissa djurburna bakteriesjukdomar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0104,01,A30-A49,Andra bakteriesjukdomar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0105,01,A50-A64,Huvudsakligen sexuellt överförda infektioner,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0106,01,A65-A69,Andra spiroketsjukdomar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0107,01,A70-A74,Andra sjukdomar orsakade av klamydia,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0108,01,A75-A79,Sjukdomar orsakade av rickettsiaarter,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0109,01,A80-A89,Virussjukdomar i centrala nervsystemet,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0110,01,A90-A99,Febersjukdomar orsakade av virus överförda av leddjur och virusorsakade hemorragiska febrar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0111,01,B00-B09,Virussjukdomar med hudutslag och slemhinneutslag,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0112,01,B15-B19,Virushepatit,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0113,01,B20-B24,Sjukdom orsakad av humant immunbristvirus [HIV],,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0114,01,B25-B34,Andra virussjukdomar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0115,01,B35-B49,Svampsjukdomar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0116,01,B50-B64,Protozosjukdomar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0117,01,B65-B83,Masksjukdomar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0118,01,B85-B89,"Lusangrepp, acarinos (angrepp av kvalster) och andra infestationer",,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0119,01,B90-B94,Sena effekter av infektionssjukdomar och parasitsjukdomar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0120,01,B95-B98,"Bakterier, virus och andra infektiösa organismer",,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0121,01,B99-B99,Andra infektionssjukdomar,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
02,00,C00-D48,Tumörer,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0201,02,C00-C14,"Maligna tumörer i läpp, munhåla och svalg",,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0202,02,C15-C26,Maligna tumörer i matsmältningsorganen,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0203,02,C30-C39,Maligna tumörer i andningsorganen och brösthålans organ,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0204,02,C40-C41,Maligna tumörer i ben och ledbrosk,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0205,02,C43-C44,Melanom och andra maligna tumörer i huden,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0206,02,C45-C49,Maligna tumörer i mesotelial (kroppshåletäckande) vävnad och mjukvävnad,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0207,02,C50-C50,Malign tumör i bröstkörtel,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0208,02,C51-C58,Maligna tumörer i de kvinnliga könsorganen,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0209,02,C60-C63,Maligna tumörer i de manliga könsorganen,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0210,02,C64-C68,Maligna tumörer i urinorganen,,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
0211,02,C69-C72,"Maligna tumörer i öga, hjärnan och andra delar av centrala nervsystemet",,Diagnoser i sluten vård|Diagnoser i specialiserad öppen vård
