diagnos,grp,code,name,name_english,sdb_amne
99,00,,Samtliga dödsorsaker,All causes of death,Dödsorsaker
Alk,00,,Alkoholrelaterad dödlighet,Alcohol Index,Dödsorsaker
01,00,A00-B99,Vissa infektions- och parasitsjukdomar,Certain infectious and parasitic diseases,Dödsorsaker
0101,01,A00-A09,Infektionssjukdomar utgående från mag-tarmkanalen,Intestinal infectious diseases,Dödsorsaker
A00,0101,A00,Kolera,Cholera,Dödsorsaker
A01,0101,A01,Tyfoidfeber eller paratyfoidfeber,Typhoid and paratyphoid fevers,Dödsorsaker
A02,0101,A02,Andra salmonellainfektioner,Other salmonella infections,Dödsorsaker
A03,0101,A03,"Shigellos (bakteriell dysenteri, rödsot)",Shigellosis,Dödsorsaker
A04,0101,A04,Andra bakteriella tarminfektioner,Other bacterial intestinal infections,Dödsorsaker
A05,0101,A05,Annan matförgiftning orsakad av bakterier,Other bacterial foodborne intoxications,Dödsorsaker
A06,0101,A06,Amöbainfektion,Amoebiasis,Dödsorsaker
A07,0101,A07,Andra protozosjukdomar i tarmen,Other protozoal intestinal diseases,Dödsorsaker
A08,0101,A08,Tarminfektioner orsakade av virus eller andra specificerade organismer,Viral and other specified intestinal infections,Dödsorsaker
A09,0101,A09,Diarré eller mag-tarmsjukdom där infektiös orsak förmodas,Diarrhoea and gastroenteritis of presumed infectious origin,Dödsorsaker
0102,01,A15-A19,Tuberkulos,Tuberculosis,Dödsorsaker
A15,0102,A15,"Tuberkulos i andningsorganen, bakteriologiskt eller histologiskt verifierad","Respiratory tuberculosis, bacteriologically and histologically confirmed",Dödsorsaker
A16,0102,A16,"Tuberkulos i andningsorganen, ej verifierad bakteriologiskt eller histologiskt","Respiratory tuberculosis, not confirmed bacteriologically or histologically",Dödsorsaker
A17,0102,A17,Tuberkulos i nervsystemet,Tuberculosis of nervous system,Dödsorsaker
A18,0102,A18,Tuberkulos i andra organ,Tuberculosis of other organs,Dödsorsaker
A19,0102,A19,Miliartuberkulos (utspridd tuberkulos),Miliary tuberculosis,Dödsorsaker
0103,01,A20-A28,Vissa djurburna bakteriesjukdomar,Certain zoonotic bacterial diseases,Dödsorsaker
A20,0103,A20,Pest,Plague,Dödsorsaker
A21,0103,A21,Tularemi (harpest),Tularaemia,Dödsorsaker
A22,0103,A22,Mjältbrand,Anthrax,Dödsorsaker
A23,0103,A23,Undulantfeber,Brucellosis,Dödsorsaker
A24,0103,A24,Rots eller melioidos,Glanders and melioidosis,Dödsorsaker
A25,0103,A25,Råttbettsfeber,Rat-bite fevers,Dödsorsaker
A26,0103,A26,Erysipeloid,Erysipeloid,Dödsorsaker
A27,0103,A27,Leptospiros,Leptospirosis,Dödsorsaker
A28,0103,A28,Andra djurburna bakteriesjukdomar som ej klassificeras annorstädes,"Other zoonotic bacterial diseases, not elsewhere classified",Dödsorsaker
0104,01,A30-A49,Andra bakteriesjukdomar,Other bacterial diseases,Dödsorsaker
A30,0104,A30,Lepra,Leprosy [Hansen's disease],Dödsorsaker
A31,0104,A31,Sjukdomar orsakade av andra mykobakterier,Infection due to other mycobacteria,Dödsorsaker
A32,0104,A32,Listerios,Listeriosis,Dödsorsaker
A33,0104,A33,Stelkramp hos nyfödd,Tetanus neonatorum,Dödsorsaker
A34,0104,A34,Obstetrisk stelkramp,Obstetrical tetanus,Dödsorsaker
A35,0104,A35,Annan stelkramp,Other tetanus,Dödsorsaker
A36,0104,A36,Difteri,Diphtheria,Dödsorsaker
A37,0104,A37,Kikhosta,Whooping cough,Dödsorsaker
A38,0104,A38,Scharlakansfeber,Scarlet fever,Dödsorsaker
A39,0104,A39,Meningokockinfektion,Meningococcal infection,Dödsorsaker
A40,0104,A40,Septikemi (blodförgiftning) orsakad av streptokocker,Streptococcal septicaemia,Dödsorsaker
A41,0104,A41,Annan septikemi,Other septicaemia,Dödsorsaker
A42,0104,A42,Aktinomykos (strålsvamp),Actinomycosis,Dödsorsaker
A43,0104,A43,Nokardios,Nocardiosis,Dödsorsaker
A44,0104,A44,Bartonellos,Bartonellosis,Dödsorsaker
A46,0104,A46,Rosfeber,Erysipelas,Dödsorsaker
A48,0104,A48,Andra bakteriesjukdomar som ej klassificeras annorstädes,"Other bacterial diseases, not elsewhere classified",Dödsorsaker
A49,0104,A49,Bakterieinfektion med icke specificerad lokalisation,Bacterial infection of unspecified site,Dödsorsaker
0105,01,A50-A64,Huvudsakligen sexuellt överförda infektioner,Infections with a predominantly sexual mode of transmission,Dödsorsaker
A50,0105,A50,Medfödd syfilis,Congenital syphilis,Dödsorsaker
A51,0105,A51,Tidig syfilis,Early syphilis,Dödsorsaker
A52,0105,A52,Sen syfilis,Late syphilis,Dödsorsaker
