drg,name,sdb_amne,sdb_titel
A03A,"Intrakraniell kirurgi för tumör, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
A03E,"Intrakraniell kirurgi för tumör, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
A04N,Kirurgi för ej rupturerade intrakraniella aneurysm och kärlmissbildningar,DRG i sluten vård,DRG_2012_och_senare
A05N,Intrakraniell kirurgi för kroniskt subduralhämatom,DRG i sluten vård,DRG_2012_och_senare
A08A,"Annan intrakraniell kärlkirurgi, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
A08E,"Annan intrakraniell kärlkirurgi, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
A09A,"Intrakraniell shuntkirurgi, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
A09E,"Intrakraniell shuntkirurgi, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
A10A,"Annan kraniotomi vid traumadiagnos, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
A10C,"Annan kraniotomi vid traumadiagnos, komplicerat",DRG i sluten vård,DRG_2012_och_senare
A10E,"Annan kraniotomi vid traumadiagnos, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
A11A,"Annan kraniotomi utan traumadiagnos, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
A11E,"Annan kraniotomi utan traumadiagnos, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
A15O,"Intrakraniella åtgärder, öppenvård",DRG i sluten vård,DRG_2012_och_senare
A16N,Intrakraniell strålbehandling,DRG i sluten vård,DRG_2012_och_senare
A16O,"Stereotaktisk intrakraniell strålbehandling, öppenvård",DRG i sluten vård,DRG_2012_och_senare
A20N,Implantation/byte av nervstimulator,DRG i sluten vård,DRG_2012_och_senare
A20O,"Implantation/byte av nervstimulator, öppenvård",DRG i sluten vård,DRG_2012_och_senare
A25N,Operationer på ryggmärg och närliggande vävnad,DRG i sluten vård,DRG_2012_och_senare
A25O,"Operationer på ryggmärg och närliggande vävnad, öppenvård",DRG i sluten vård,DRG_2012_och_senare
A28C,"Operationer på extrakraniella kärl, komplicerat",DRG i sluten vård,DRG_2012_och_senare
A28E,"Operationer på extrakraniella kärl, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
A28O,"Operationer på extrakraniella kärl, öppenvård",DRG i sluten vård,DRG_2012_och_senare
A29N,Operationer på karpaltunnel,DRG i sluten vård,DRG_2012_och_senare
A29O,"Operationer på karpaltunnel, öppenvård",DRG i sluten vård,DRG_2012_och_senare
A35A,"Op på hjärnnerver & andra delar av nervsystemet, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
A35C,"Op på hjärnnerver & andra delar av nervsystemet, komplicerat",DRG i sluten vård,DRG_2012_och_senare
A35E,"Op på hjärnnerver & andra delar av nervsystemet, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
A35O,"Op på hjärnnerver & andra delar av nervsystemet, öppenvård",DRG i sluten vård,DRG_2012_och_senare
A39N,Behandling/utredning under större anestesi vid neurologiska problem,DRG i sluten vård,DRG_2012_och_senare
A40A,"Sjukdomar och skador i ryggmärgen, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
A40C,"Sjukdomar och skador i ryggmärgen, komplicerat",DRG i sluten vård,DRG_2012_och_senare
A40E,"Sjukdomar och skador i ryggmärgen, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
A43A,"Tumörer i nervsystemet, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
A43C,"Tumörer i nervsystemet, komplicerat",DRG i sluten vård,DRG_2012_och_senare
A43E,"Tumörer i nervsystemet, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
A44A,"Degenerativa sjukdomar i nervsystemet, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
A44E,"Degenerativa sjukdomar i nervsystemet, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
A45C,"Multipel scleros och cerebellär ataxi, komplicerat",DRG i sluten vård,DRG_2012_och_senare
A45E,"Multipel scleros och cerebellär ataxi, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
A46A,"Specifika kärlsjukdomar i hjärnan exkl TIA, mycket komplicerat",DRG i sluten vård,DRG_2012_och_senare
A46C,"Specifika kärlsjukdomar i hjärnan exkl TIA, komplicerat",DRG i sluten vård,DRG_2012_och_senare
A46E,"Specifika kärlsjukdomar i hjärnan exkl TIA, ej komplicerat",DRG i sluten vård,DRG_2012_och_senare
