indikator,grpref,name,name_english,val,sdb_amne,sdb_titel
2,101,Personer som sjukhusvårdats med akut hjärtinfarkt som huvuddiagnos,"Persons with at least one hospital admission with AMI as principal diagnosis by age, sex and year",1,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
5,104,Sjukhusvårdade incidenta fall av akut hjärtinfarkt som överlevt incidensdatum men döda inom 28 dagar,"Hospitalized incident cases of AMI surviving the day of incidence, deaths within 28 days ",1,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
6,104,Sjukhusvårdade incidenta fall av akut hjärtinfarkt döda inom ett år,Hospitalized incident cases of AMI deaths within 365 days,1,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
7,104,Sjukhusvårdade incidenta fall av akut hjärtinfarkt döda inom 28 dagar,Hospitalized incident cases of AMI deaths within 28 days,1,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
8,102,Förstagångsfall. Sjukhusvårdade fall av akut hjärtinfarkt efter sju infarktfria år som överlevt incidensdatum men döda inom 28 dagar,"Hospitalized primary incident cases of AMI surviving the day of incidence, deaths within 28 days ",1,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
9,102,Förstagångsfall. Sjukhusvårdade fall av akut hjärtinfarkt efter sju infarktfria år: döda inom ett år,Hospitalized primary incident cases of AMI deaths within 365 days,1,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
10,102,"Förstagångsfall. Sjukhusvårdade fall av akut hjärtinfarkt efter sju infarktfria år, döda inom 28 dagar",Hospitalized primary incident cases of AMI deaths within 28 days,1,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
20,201,Letalitet bland sjukhusvårdade som överlevt incidensdatum. Döda inom 28 dagar (döda dag 1-27) i procent,Case fatality of AMI for hospitalized cases surviving the day of incidence. Deaths within 28 days,1,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
21,201,Letalitet bland sjukhusvårdade. Döda inom ett år (döda dag 0-365) i procent,Case fatality of AMI for hospitalized cases. Deaths within 365 days,1,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
22,201,Letalitet bland sjukhusvårdade. Döda inom 28 dagar (döda dag 0-27) i procent,Case fatality of AMI for hospitalized cases. Deaths within 28 days,1,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
23,201,Letalitet bland sjukhusvårdade förstagångsfall som överlevt incidensdatum. Döda inom 28 dagar (döda dag 1-27) i procent,Case fatality of primary AMI for hospitalized cases surviving the day of incidence. Deaths within 28 days,1,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
24,201,Letalitet bland sjukhusvårdade förstagångsfall. Döda inom ett år (döda dag 0-365) i procent,Case fatality of primary AMI for hospitalized cases. Deaths within 365 days,1,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
25,201,Letalitet bland sjukhusvårdade förstagångsfall. Döda inom 28 dagar (döda dag 0-27) i procent,Case fatality of primary AMI for hospitalized cases. Deaths within 28 days,1,Hjärtinfarkter,"Indikatorer, fördelning på vårdlandsting"
