operation,grp,code,name
99,,,Samtliga operationer
A,,A,Operationer på nervsystemet
AA,A,AA,Operationer på kraniet och intrakraniella strukturer
AAA,AA,AAA,Diagnostiska intrakraniella operationer
AAA00,AAA,AAA00,Explorativ kraniotomi
AAA10,AAA,AAA10,Biopsi via kraniotomi
AAA20,AAA,AAA20,Inläggande av intrakraniell tryckmätare
AAA25,AAA,AAA25,Inläggande av epidural tryckmätare
AAA27,AAA,AAA27,Inläggande av intracerebral tryckmätare
AAA30,AAA,AAA30,Inläggande av epidurala elektroder
AAA35,AAA,AAA35,Inläggande av subdurala elektroder
AAA40,AAA,AAA40,Inläggande av intracerebrala elektroder
AAA50,AAA,AAA50,Intrakraniell endoskopi
AAA99,AAA,AAA99,Annan diagnostisk intrakraniell operation
AAB,AA,AAB,Exstirpationer och destruktioner av intrakraniella förändringar
AAB00,AAB,AAB00,Exstirpation av intrakraniell förändring
AAB10,AAB,AAB10,Resektion av intrakraniell förändring
AAB20,AAB,AAB20,Destruktion av intrakraniell förändring
AAB30,AAB,AAB30,Utrymning av spontant intrakraniellt hematom
AAB99,AAB,AAB99,Annan operation på intrakraniell förändring
AAC,AA,AAC,Operationer för aneurysm och andra intrakraniella kärloperationer
AAC00,AAC,AAC00,Stjälkligatur av intrakraniellt aneurysm
AAC05,AAC,AAC05,Proximal ligatur av intrakraniellt aneurysm
AAC10,AAC,AAC10,Väggförstärkning av intrakraniellt aneurysm
AAC15,AAC,AAC15,Trapping av intrakraniellt aneurysm
AAC20,AAC,AAC20,Intrakraniell kärlanastomos
AAC30,AAC,AAC30,Ocklusion av intrakraniell fistel
AAC40,AAC,AAC40,Exstirpation av intrakraniell arteriovenös missbildning
AAC99,AAC,AAC99,Annan intrakraniell kärloperation
AAD,AA,AAD,Operationer p g a kraniella och intrakraniella traumatiska förändringar
AAD00,AAD,AAD00,Utrymning av epiduralt hematom
AAD05,AAD,AAD05,Utrymning av akut subduralt hematom
AAD10,AAD,AAD10,Utrymning av kroniskt subduralt hematom
AAD15,AAD,AAD15,Utrymning av traumatiskt intracerebralt hematom
AAD30,AAD,AAD30,Revision av penetrerande eller perforerande skallskada
AAD40,AAD,AAD40,Revision av skallfraktur
AAD99,AAD,AAD99,Annan operation p.g.a. kraniell eller intrakraniell traumatisk förändring
AAE,AA,AAE,Kraniobasala operationer
AAE00,AAE,AAE00,Transsfenoidal exploration
AAE10,AAE,AAE10,Transsfenoidal total eller partiell exstirpation av intrakraniell förändring
AAE20,AAE,AAE20,Transoral total eller partiell exstirpation av intrakraniell förändring
AAE25,AAE,AAE25,Transcervikal total eller partiell exstirpation av intrakraniell förändring
AAE30,AAE,AAE30,Translabyrintär total eller partiell exstirpation av intrakraniell förändring
AAE40,AAE,AAE40,Transtemporal total eller partiell exstirpation av intrakraniell förändring
AAE50,AAE,AAE50,Zygomatikotemporal total eller partiell exstirpation av intrakraniell förändring
AAE99,AAE,AAE99,Annan kraniobasal operation
AAF,AA,AAF,Shuntoperationer på hjärnventrikel och intrakraniell cysta
AAF00,AAF,AAF00,Ventrikulostomi
AAF05,AAF,AAF05,Ventrikuloperitoneal shunt
AAF10,AAF,AAF10,Lumboperitoneal shunt
AAF15,AAF,AAF15,Ventrikuloatrial shunt
AAF20,AAF,AAF20,Revision av ventrikelshunt
AAF25,AAF,AAF25,Borttagande av ventrikelshunt
AAF30,AAF,AAF30,Inläggande av intraventrikulär injektionsport
AAF35,AAF,AAF35,Inläggande av reservoar för intraventrikulär behandling
AAF40,AAF,AAF40,Anläggande av shunt mellan intrakraniell cysta och peritoneum
AAF45,AAF,AAF45,Fenestrering av intrakraniell cysta
AAF99,AAF,AAF99,Annan shuntoperation på hjärnventrikel eller intrakraniell cysta
AAG,AA,AAG,Stereotaktiska intrakraniella operationer
AAG00,AAG,AAG00,Stereotaktisk intrakraniell biopsi
AAG10,AAG,AAG10,Stereotaktisk intrakraniell destruktion av nukleos eller nervbana
AAG20,AAG,AAG20,Stereotaktiskt intrakraniellt inläggande av elektroder
AAG30,AAG,AAG30,Stereotaktisk intrakraniell implantation av strålkälla
AAG40,AAG,AAG40,Stereotaktisk intrakraniell implantation av fosternervceller eller autologa celler
AAG50,AAG,AAG50,Stereotaktisk intrakraniell strålbehandling
AAG99,AAG,AAG99,Annan stereotaktisk intrakraniell operation
AAH,AA,AAH,Operationer på kranialnerver
AAH10,AAH,AAH10,Rizotomi av kranialnerv
AAH20,AAH,AAH20,Dekompression av kranialnerv
AAH30,AAH,AAH30,Termolesion av kranialnerv
AAH40,AAH,AAH40,Injektion i kranialnerv
AAH50,AAH,AAH50,Anastomos av kranialnerv
AAH60,AAH,AAH60,Mikrovaskulär dekompression av kranialnerv
AAH70,AAH,AAH70,Nervtransplantation till kranialnerv
AAH80,AAH,AAH80,Transferering av kranialnerv
AAH99,AAH,AAH99,Annan operation på kranialnerv
AAJ,AA,AAJ,Operationer pga epilepsi
AAJ00,AAJ,AAJ00,Hemisfärektomi vid epilepsi
AAJ10,AAJ,AAJ10,Lobektomi vid epilepsi
AAJ15,AAJ,AAJ15,Hippokampektomi vid epilepsi
AAJ20,AAJ,AAJ20,Resektion av epileptiskt fokus
AAJ25,AAJ,AAJ25,Avskärning av nervbanor vid epilepsi
AAJ30,AAJ,AAJ30,Kallosotomi vid epilepsi
AAJ35,AAJ,AAJ35,Hemidekortikation vid epilepsi
AAJ99,AAJ,AAJ99,Annan operation vid epilepsi
AAK,AA,AAK,Operationer på kranium och hårda hjärnhinnan
AAK00,AAK,AAK00,Kranioplastik
AAK10,AAK,AAK10,Duraplastik
AAK20,AAK,AAK20,Operationer p.g.a. kraniosynostos
AAK30,AAK,AAK30,Kraniofacial rekonstruktion vid missbildning
AAK40,AAK,AAK40,Ocklusion av likvorfistel
AAK50,AAK,AAK50,Reposition och osteosyntes vid skallfraktur
AAK60,AAK,AAK60,Resektion av skallbenstumör med rekonstruktion
AAK70,AAK,AAK70,Biopsi av skallben
AAK75,AAK,AAK75,Resektion av förändring i skallben
AAK80,AAK,AAK80,Partiell ektomi av skalltaket
AAK85,AAK,AAK85,Replantation av tidigare uttagen del av skalltak
AAK99,AAK,AAK99,Annan operation på kranium eller dura
AAL,AA,AAL,Endovaskulära intrakraniella operationer
AAL00,AAL,AAL00,Endovaskulär ocklusion p.g.a. intrakraniellt aneurysm
AAL10,AAL,AAL10,Intrakraniell endovaskulär trombolys
AAL15,AAL,AAL15,Intrakraniell endovaskulär trombektomi
AAL20,AAL,AAL20,Endovaskulär ocklusion p.g.a. intrakraniell A-V missbildning
AAL30,AAL,AAL30,Endovaskulär ocklusion av intrakraniell fistel
AAL40,AAL,AAL40,Endovaskulär ocklusion p.g.a. intrakraniell tumör
AAL50,AAL,AAL50,Endovaskulärt inläggande av stent i intrakraniellt kärl
AAL99,AAL,AAL99,Annan endovaskulär intrakraniell operation
AAM,AA,AAM,Operationer med punktion och dränage vid intrakraniella infektioner
AAM00,AAM,AAM00,Punktion och tömning av intrakraniell abscess
AAM10,AAM,AAM10,Exstirpation av intrakraniell abscess
AAM30,AAM,AAM30,Utrymning av epiduralt eller subduralt empyem
AAM99,AAM,AAM99,Annan operation vid intrakraniell infektion
AAN,AA,AAN,Operationer vid intrakraniella kongenitala missbildningar
AAN00,AAN,AAN00,Exstirpation och plastik av encefalocele
AAN99,AAN,AAN99,Annan operation vid intrakraniell kongenital missbildning
AAP,AA,AAP,Rekonstruktiva operationer vid ansiktsförlamning
AAP00,AAP,AAP00,Lokal muskeltransposition vid facialispares
AAP10,AAP,AAP10,Crossfaciell nervtransplantation vid facialispares
AAP20,AAP,AAP20,Mikrovaskulär muskelförflyttning vid facialispares
AAP99,AAP,AAP99,Annan rekonstruktiv operation vid facialispares
AAU,AA,AAU,Avlägsnande av implantat och externt fixationsmaterial från skallen
AAU00,AAU,AAU00,Avlägsnande av implantat eller externt fixationsmaterial från skallen
AAW,AA,AAW,Andra operationer på kraniet och intrakraniella strukturer
AAW01,AAW,AAW01,Inläggande av intrakraniell stimuleringsutrustning
AAW02,AAW,AAW02,Inläggande av intrakraniell injektionsport
