region,grp,code,name,name_english
0,-1,00,Riket,Entire Sweden
1,0,01,Stockholms län,Stockholm
114,1,0114,Upplands Väsby,Upplands Väsby
115,1,0115,Vallentuna,Vallentuna
117,1,0117,Österåker,Österåker
120,1,0120,Värmdö,Värmdö
123,1,0123,Järfälla,Järfälla
125,1,0125,Ekerö,Ekerö
126,1,0126,Huddinge,Huddinge
127,1,0127,Botkyrka,Botkyrka
128,1,0128,Salem,Salem
136,1,0136,Haninge,Haninge
138,1,0138,Tyresö,Tyresö
139,1,0139,Upplands-Bro,Upplands-Bro
140,1,0140,Nykvarn,Nykvarn
160,1,0160,Täby,Täby
162,1,0162,Danderyd,Danderyd
163,1,0163,Sollentuna,Sollentuna
180,1,0180,Stockholm,Stockholm
181,1,0181,Södertälje,Södertälje
182,1,0182,Nacka,Nacka
183,1,0183,Sundbyberg,Sundbyberg
184,1,0184,Solna,Solna
186,1,0186,Lidingö,Lidingö
187,1,0187,Vaxholm,Vaxholm
188,1,0188,Norrtälje,Norrtälje
191,1,0191,Sigtuna,Sigtuna
192,1,0192,Nynäshamn,Nynäshamn
3,0,03,Uppsala län,Uppsala
305,3,0305,Håbo,Håbo
319,3,0319,Älvkarleby,Älvkarleby
330,3,0330,Knivsta,Knivsta
331,3,0331,Heby,Heby
360,3,0360,Tierp,Tierp
380,3,0380,Uppsala,Uppsala
381,3,0381,Enköping,Enköping
382,3,0382,Östhammar,Östhammar
4,0,04,Södermanlands län,Södermanland
428,4,0428,Vingåker,Vingåker
461,4,0461,Gnesta,Gnesta
480,4,0480,Nyköping,Nyköping
481,4,0481,Oxelösund,Oxelösund
482,4,0482,Flen,Flen
483,4,0483,Katrineholm,Katrineholm
484,4,0484,Eskilstuna,Eskilstuna
486,4,0486,Strängnäs,Strängnäs
488,4,0488,Trosa,Trosa
5,0,05,Östergötlands län,Östergötland
509,5,0509,Ödeshög,Ödeshög
512,5,0512,Ydre,Ydre
513,5,0513,Kinda,Kinda
560,5,0560,Boxholm,Boxholm
561,5,0561,Åtvidaberg,Åtvidaberg
562,5,0562,Finspång,Finspång
563,5,0563,Valdemarsvik,Valdemarsvik
580,5,0580,Linköping,Linköping
581,5,0581,Norrköping,Norrköping
582,5,0582,Söderköping,Söderköping
583,5,0583,Motala,Motala
584,5,0584,Vadstena,Vadstena
586,5,0586,Mjölby,Mjölby
6,0,06,Jönköpings län,Jönköping
604,6,0604,Aneby,Aneby
617,6,0617,Gnosjö,Gnosjö
642,6,0642,Mullsjö,Mullsjö
643,6,0643,Habo,Habo
662,6,0662,Gislaved,Gislaved
665,6,0665,Vaggeryd,Vaggeryd
680,6,0680,Jönköping,Jönköping
682,6,0682,Nässjö,Nässjö
683,6,0683,Värnamo,Värnamo
684,6,0684,Sävsjö,Sävsjö
685,6,0685,Vetlanda,Vetlanda
686,6,0686,Eksjö,Eksjö
687,6,0687,Tranås,Tranås
