indikator,ind_data,matt,grpref,name,sdb_amne,sdb_titel
1,1,1,101,Personer som sjukhusvårdats för stroke,Stroke,"Indikatorer, fördelning på vårdlandsting"
2,2,1,101,Personer som sjukhusvårdats med stroke som huvuddiagnos,Stroke,"Indikatorer, fördelning på vårdlandsting"
3,3,1,102,Förstagångsfall. Sjukhusvårdade fall av stroke efter sju strokefria år,Stroke,"Indikatorer, fördelning på vårdlandsting"
4,4,1,104,Incidenta fall som sjukhusvårdats för stroke,Stroke,"Indikatorer, fördelning på vårdlandsting"
5,5,1,104,Sjukhusvårdade incidenta fall av stroke som överlevt incidensdatum men döda inom 28 dagar,Stroke,"Indikatorer, fördelning på vårdlandsting"
6,6,1,104,Sjukhusvårdade incidenta fall av stroke döda inom ett år,Stroke,"Indikatorer, fördelning på vårdlandsting"
7,7,1,104,Sjukhusvårdade incidenta fall av stroke döda inom 28 dagar,Stroke,"Indikatorer, fördelning på vårdlandsting"
8,8,1,102,Förstagångsfall. Sjukhusvårdade fall av stroke efter sju strokefria år som överlevt incidensdatum men döda inom 28 dagar,Stroke,"Indikatorer, fördelning på vårdlandsting"
9,9,1,102,Förstagångsfall. Sjukhusvårdade fall av stroke efter sju strokefria år: döda inom ett år,Stroke,"Indikatorer, fördelning på vårdlandsting"
10,10,1,102,"Förstagångsfall. Sjukhusvårdade fall av stroke efter sju strokefria år, döda inom 28 dagar",Stroke,"Indikatorer, fördelning på vårdlandsting"
20,5,2,105,Letalitet bland sjukhusvårdade som överlevt incidensdatum. Döda inom 28 dagar (döda dag 1-27) i procent,Stroke,"Indikatorer, fördelning på vårdlandsting"
21,6,2,105,Letalitet bland sjukhusvårdade. Döda inom ett år (döda dag 0-365) i procent,Stroke,"Indikatorer, fördelning på vårdlandsting"
22,7,2,105,Letalitet bland sjukhusvårdade. Döda inom 28 dagar (döda dag 0-27) i procent,Stroke,"Indikatorer, fördelning på vårdlandsting"
23,8,2,105,Letalitet bland sjukhusvårdade förstagångsfall som överlevt incidensdatum. Döda inom 28 dagar (döda dag 1-27) i procent,Stroke,"Indikatorer, fördelning på vårdlandsting"
24,9,2,105,Letalitet bland sjukhusvårdade förstagångsfall. Döda inom ett år (döda dag 0-365) i procent,Stroke,"Indikatorer, fördelning på vårdlandsting"
25,10,2,105,Letalitet bland sjukhusvårdade förstagångsfall. Döda inom 28 dagar (döda dag 0-27) i procent,Stroke,"Indikatorer, fördelning på vårdlandsting"
30,5,4,-1,Åldersstandardiserad letalitet bland sjukhusvårdade som överlevt incidensdatum. Döda inom 28 dagar (döda dag 1-27) i procent,Stroke,"Indikatorer, fördelning på vårdlandsting"
31,6,4,-1,Åldersstandardiserad letalitet bland sjukhusvårdade. Döda inom ett år (döda dag 0-365) i procent,Stroke,"Indikatorer, fördelning på vårdlandsting"
32,7,4,-1,Åldersstandardiserad letalitet bland sjukhusvårdade. Döda inom 28 dagar (döda dag 0-27) i procent,Stroke,"Indikatorer, fördelning på vårdlandsting"
33,8,4,-1,Åldersstandardiserad letalitet bland sjukhusvårdade förstagångsfall som överlevt incidensdatum. Döda inom 28 dagar (döda dag 1-27) i procent,Stroke,"Indikatorer, fördelning på vårdlandsting"
34,9,4,-1,Åldersstandardiserad letalitet bland sjukhusvårdade förstagångsfall. Döda inom ett år (döda dag 0-365) i procent,Stroke,"Indikatorer, fördelning på vårdlandsting"
35,10,4,-1,Åldersstandardiserad letalitet bland sjukhusvårdade förstagångsfall. Döda inom 28 dagar (döda dag 0-27) i procent,Stroke,"Indikatorer, fördelning på vårdlandsting"
101,,,-1,,Stroke,"Indikatorer, fördelning på vårdlandsting"
102,,,-1,,Stroke,"Indikatorer, fördelning på vårdlandsting"
104,,,-1,,Stroke,"Indikatorer, fördelning på vårdlandsting"
105,,,-1,,Stroke,"Indikatorer, fördelning på vårdlandsting"
1003,,,102,,Stroke,"Indikatorer, fördelning på vårdlandsting"
1005,,,104,,Stroke,"Indikatorer, fördelning på vårdlandsting"
1006,,,-1,,Stroke,"Indikatorer, fördelning på vårdlandsting"
1007,,,-1,,Stroke,"Indikatorer, fördelning på vårdlandsting"
1008,,,105,,Stroke,"Indikatorer, fördelning på vårdlandsting"
1009,,,105,,Stroke,"Indikatorer, fördelning på vårdlandsting"
1101,,,105,,Stroke,"Indikatorer, fördelning på vårdlandsting"
1102,,,-1,,Stroke,"Indikatorer, fördelning på vårdlandsting"
